Node,PageRank
medic,0.002473785085326493
would,0.0028656104383176814
encount,0.002666587540738768
visit,0.002666587540738768
consult,0.0019486379195480829
viewpoint,0.001993356742581517
focus,0.002144892206423941
trainabl,0.001993356742581517
kind,0.0020103640156806856
much,0.001992479902914195
avalu,0.001994269371623016
sequenc,0.0020885292468452196
promot,0.002452973744577867
efﬁcient,0.001993356742581517
call,0.001992479902914195
method,0.001994269371623016
must,0.001994269371623016
illustr,0.001992479902914195
seen,0.0020762156434157913
mauksch,0.001992479902914195
give,0.0020102246118028234
hint,0.001992479902914195
spite,0.001994269371623016
increas,0.001993356742581517
document,0.001992479902914195
ﬁnding,0.001994269371623016
summar,0.001993356742581517
occur,0.001994269371623016
ongo,0.001992479902914195
suffer,0.001994269371623016
less,0.001992479902914195
greater,0.002144892206423941
ideal,0.001993356742581517
see,0.001992479902914195
said,0.001994269371623016
donecr,0.001993356742581517
purpos,0.001993356742581517
clin,0.001994269371623016
lancet,0.002020385630058942
bertaki,0.001993356742581517
kd,0.001992479902914195
care,0.002595429968708287
valu,0.0019486379195480829
origin,0.002735848307400681
ﬁnd,0.002746824997693577
given,0.0021835645797972873
interact,0.0022004324490185936
spontan,0.002256660955509501
write,0.002720808111963261
talk,0.002242239367622771
chain,0.0019486379195480829
chosen,0.002500921647151476
brieﬂi,0.002500921647151476
emot,0.0019486379195480829
arnstein,0.002064677215410711
trond,0.001965931029169926
depart,0.0019656451926472513
consid,0.0020640957701765516
answer,0.0019657869199230776
current,0.0019663782647635947
neuroscientiﬁc,0.0019655057887693894
sexpress,0.0020338203339201836
pain,0.0019663782647635947
anger,0.0019662266378814106
grief,0.0019660775809463827
identifi,0.0019656451926472513
might,0.0019660775809463827
intermedi,0.0019657869199230776
design,0.0019655057887693894
reveal,0.0019655057887693894
attenu,0.0019662266378814106
worri,0.0019662266378814106
invit,0.0019660775809463827
repli,0.0019657869199230776
statement,0.0019655057887693894
questionnair,0.0023804394335839555
tress,0.0019663782647635947
follow,0.0019662266378814106
contagion,0.0021726121866206616
unbalanc,0.0019660775809463827
mobil,0.001965931029169926
identiﬁc,0.0019656451926472513
utilis,0.0019655057887693894
paper,0.0019662266378814106
specifi,0.0019655057887693894
se,0.0020249014257068937
found,0.002116849472682336
pattern,0.0020370090295913886
project,0.0019656451926472513
lower,0.0019655057887693894
exert,0.0019662266378814106
siolog,0.0019655057887693894
step,0.0019656451926472513
circuitri,0.0019657869199230776
way,0.0019660775809463827
therefor,0.0020371531388382372
propos,0.0019657869199230776
necessari,0.0020507337306677103
get,0.0020243199804727344
stuck,0.0019655057887693894
longer,0.0025230091665333423
event,0.0019656451926472513
attempt,0.0019923428963173374
distress,0.0019657869199230776
subserv,0.0019663782647635947
true,0.0019657869199230776
closer,0.002588316943281752
behavior,0.0024019859163406597
ick,0.0020948664333917118
w,0.0020912391018194356
editor,0.0019657869199230776
accuraci,0.0019655057887693894
preferenti,0.0020260475405183232
engag,0.0019662266378814106
rizzolatti,0.0019656451926472513
g,0.0019655057887693894
abnorm,0.0020249014257068937
ar,0.0019657869199230776
languag,0.0019663782647635947
primari,0.0019662266378814106
