Node,Closeness Centrality
medic,0.004766949152542373
would,0.007627118644067797
encount,0.005885122410546139
visit,0.005885122410546139
consult,0.0
viewpoint,0.00211864406779661
focus,0.00423728813559322
trainabl,0.00211864406779661
kind,0.00423728813559322
much,0.00211864406779661
avalu,0.00211864406779661
sequenc,0.00423728813559322
promot,0.00847457627118644
efﬁcient,0.00211864406779661
call,0.00211864406779661
method,0.00211864406779661
must,0.00211864406779661
illustr,0.00211864406779661
seen,0.00423728813559322
mauksch,0.00211864406779661
give,0.00423728813559322
hint,0.00211864406779661
spite,0.00211864406779661
increas,0.00211864406779661
document,0.00211864406779661
ﬁnding,0.00211864406779661
summar,0.00211864406779661
occur,0.00211864406779661
ongo,0.00211864406779661
suffer,0.00211864406779661
less,0.00211864406779661
greater,0.00423728813559322
ideal,0.00211864406779661
see,0.00211864406779661
said,0.00211864406779661
donecr,0.00211864406779661
purpos,0.00211864406779661
clin,0.00211864406779661
lancet,0.00423728813559322
bertaki,0.00211864406779661
kd,0.00211864406779661
care,0.006779661016949153
valu,0.0
origin,0.00423728813559322
ﬁnd,0.004766949152542373
given,0.00211864406779661
interact,0.00423728813559322
spontan,0.00423728813559322
write,0.006355932203389831
talk,0.00423728813559322
chain,0.0
chosen,0.00211864406779661
brieﬂi,0.00211864406779661
emot,0.0
arnstein,0.00423728813559322
trond,0.00211864406779661
depart,0.00211864406779661
consid,0.00423728813559322
answer,0.00211864406779661
current,0.00211864406779661
neuroscientiﬁc,0.00211864406779661
sexpress,0.00423728813559322
pain,0.00211864406779661
anger,0.00211864406779661
grief,0.00211864406779661
identifi,0.00211864406779661
might,0.00211864406779661
intermedi,0.00211864406779661
design,0.00211864406779661
reveal,0.00211864406779661
attenu,0.00211864406779661
worri,0.00211864406779661
invit,0.00211864406779661
repli,0.00211864406779661
statement,0.00211864406779661
questionnair,0.00423728813559322
tress,0.00211864406779661
follow,0.00211864406779661
contagion,0.00423728813559322
unbalanc,0.00211864406779661
mobil,0.00211864406779661
identiﬁc,0.00211864406779661
utilis,0.00211864406779661
paper,0.00211864406779661
specifi,0.00211864406779661
se,0.00423728813559322
found,0.00423728813559322
pattern,0.00423728813559322
project,0.00211864406779661
lower,0.00211864406779661
exert,0.00211864406779661
siolog,0.00211864406779661
step,0.00211864406779661
circuitri,0.00211864406779661
way,0.00211864406779661
therefor,0.00423728813559322
propos,0.00211864406779661
necessari,0.00423728813559322
get,0.00423728813559322
stuck,0.00211864406779661
longer,0.00423728813559322
event,0.00211864406779661
attempt,0.00423728813559322
distress,0.00211864406779661
subserv,0.00211864406779661
true,0.00211864406779661
closer,0.004842615012106537
behavior,0.004766949152542373
ick,0.00423728813559322
w,0.00423728813559322
editor,0.00211864406779661
accuraci,0.00211864406779661
preferenti,0.00423728813559322
engag,0.00211864406779661
rizzolatti,0.00211864406779661
g,0.00211864406779661
abnorm,0.00423728813559322
ar,0.00211864406779661
languag,0.00211864406779661
primari,0.00211864406779661
reliabl,0.00423728813559322
valid,0.00211864406779661
go,0.00882768361581921
beyond,0.00211864406779661
pressman,0.00211864406779661
dimens,0.00211864406779661
phan,0.00423728813559322
kl,0.00211864406779661
ohira,0.00211864406779661
nomura,0.00211864406779661
ichikawa,0.00211864406779661
isowa,0.00211864406779661
kim,0.00211864406779661
sh,0.00211864406779661
hamann,0.00211864406779661
enck,0.00423728813559322
benedetti,0.00211864406779661
f,0.00211864406779661
schedlowski,0.00211864406779661
expect,0.00211864406779661
anxieti,0.00211864406779661
eral,0.00423728813559322
modulatori,0.00423728813559322
diverg,0.00423728813559322
regul,0.0
view,0.00423728813559322
promin,0.006355932203389831
featur,0.00423728813559322
deﬁn,0.006355932203389831
claim,0.00211864406779661
somat,0.00211864406779661
highli,0.00211864406779661
later,0.00211864406779661
better,0.00211864406779661
integr,0.00211864406779661
cogn,0.00211864406779661
behaviour,0.0
present,0.00423728813559322
therapi,0.00211864406779661
certain,0.00423728813559322
physiolog,0.01059322033898305
speciﬁc,0.00211864406779661
facilit,0.00423728813559322
seem,0.00847457627118644
motiv,0.00211864406779661
brain,0.002824858757062147
known,0.0031779661016949155
distinct,0.004842615012106537
mechan,0.0
term,0.00423728813559322
neurobiolog,0.00211864406779661
process,0.0
select,0.00423728813559322
review,0.00211864406779661
inﬂuenc,0.00211864406779661
involv,0.00211864406779661
explain,0.00423728813559322
social,0.00211864406779661
suggest,0.00211864406779661
broadli,0.00211864406779661
speciﬁ,0.00211864406779661
prematur,0.00211864406779661
part,0.00211864406779661
ann,0.00211864406779661
rev,0.00211864406779661
measur,0.00423728813559322
fam,0.00423728813559322
affect,0.0
becom,0.00423728813559322
optim,0.00423728813559322
surpris,0.00423728813559322
research,0.00423728813559322
although,0.00211864406779661
moreov,0.00423728813559322
digit,0.00211864406779661
marit,0.00423728813559322
disrupt,0.00211864406779661
health,0.00211864406779661
magnet,0.00211864406779661
ispropos,0.002824858757062147
outcom,0.0
