Node,Degree Centrality
medic,0.01059322033898305
would,0.006355932203389831
encount,0.00423728813559322
visit,0.00423728813559322
consult,0.07838983050847458
viewpoint,0.00211864406779661
focus,0.00423728813559322
trainabl,0.00211864406779661
kind,0.00423728813559322
much,0.00211864406779661
avalu,0.00211864406779661
sequenc,0.00423728813559322
promot,0.00847457627118644
efﬁcient,0.00211864406779661
call,0.00211864406779661
method,0.00211864406779661
must,0.00211864406779661
illustr,0.00211864406779661
seen,0.00423728813559322
mauksch,0.00211864406779661
give,0.00423728813559322
hint,0.00211864406779661
spite,0.00211864406779661
increas,0.00211864406779661
document,0.00211864406779661
ﬁnding,0.00211864406779661
summar,0.00211864406779661
occur,0.00211864406779661
ongo,0.00211864406779661
suffer,0.00211864406779661
less,0.00211864406779661
greater,0.00423728813559322
ideal,0.00211864406779661
see,0.00211864406779661
said,0.00211864406779661
donecr,0.00211864406779661
purpos,0.00211864406779661
clin,0.00211864406779661
lancet,0.00423728813559322
bertaki,0.00211864406779661
kd,0.00211864406779661
care,0.006355932203389831
valu,0.014830508474576272
origin,0.00423728813559322
ﬁnd,0.00423728813559322
given,0.00211864406779661
interact,0.01694915254237288
spontan,0.00423728813559322
write,0.006355932203389831
talk,0.00423728813559322
chain,0.006355932203389831
chosen,0.00211864406779661
brieﬂi,0.00211864406779661
emot,0.2033898305084746
arnstein,0.00423728813559322
trond,0.00211864406779661
depart,0.00211864406779661
consid,0.00423728813559322
answer,0.00211864406779661
current,0.00211864406779661
neuroscientiﬁc,0.00211864406779661
sexpress,0.00423728813559322
pain,0.00211864406779661
anger,0.00211864406779661
grief,0.00211864406779661
identifi,0.00211864406779661
might,0.00211864406779661
intermedi,0.00211864406779661
design,0.00211864406779661
reveal,0.00211864406779661
attenu,0.00211864406779661
worri,0.00211864406779661
invit,0.00211864406779661
repli,0.00211864406779661
statement,0.00211864406779661
questionnair,0.00423728813559322
tress,0.00211864406779661
follow,0.00211864406779661
contagion,0.00423728813559322
unbalanc,0.00211864406779661
mobil,0.00211864406779661
identiﬁc,0.00211864406779661
utilis,0.00211864406779661
paper,0.00211864406779661
specifi,0.00211864406779661
se,0.00423728813559322
found,0.00423728813559322
pattern,0.00423728813559322
project,0.00211864406779661
lower,0.00211864406779661
exert,0.00211864406779661
siolog,0.00211864406779661
step,0.00847457627118644
circuitri,0.00211864406779661
way,0.00211864406779661
therefor,0.00423728813559322
propos,0.00211864406779661
necessari,0.00423728813559322
get,0.00423728813559322
stuck,0.00211864406779661
longer,0.00423728813559322
event,0.00211864406779661
attempt,0.00423728813559322
distress,0.00211864406779661
subserv,0.00211864406779661
true,0.00211864406779661
closer,0.00423728813559322
behavior,0.00423728813559322
ick,0.00423728813559322
w,0.00423728813559322
editor,0.00211864406779661
accuraci,0.00211864406779661
preferenti,0.00423728813559322
engag,0.00211864406779661
rizzolatti,0.00211864406779661
g,0.00211864406779661
abnorm,0.00423728813559322
ar,0.00211864406779661
languag,0.00211864406779661
primari,0.00211864406779661
reliabl,0.00423728813559322
valid,0.00211864406779661
go,0.00847457627118644
beyond,0.00211864406779661
pressman,0.00211864406779661
dimens,0.00211864406779661
phan,0.00423728813559322
kl,0.00211864406779661
ohira,0.00211864406779661
nomura,0.00211864406779661
ichikawa,0.00211864406779661
isowa,0.00211864406779661
kim,0.00211864406779661
sh,0.00211864406779661
hamann,0.00211864406779661
enck,0.00423728813559322
benedetti,0.00211864406779661
f,0.00211864406779661
schedlowski,0.00211864406779661
expect,0.00211864406779661
anxieti,0.00211864406779661
eral,0.00423728813559322
modulatori,0.00423728813559322
diverg,0.00423728813559322
regul,0.036016949152542374
view,0.00423728813559322
promin,0.006355932203389831
featur,0.00423728813559322
deﬁn,0.006355932203389831
claim,0.00211864406779661
somat,0.00211864406779661
highli,0.00211864406779661
later,0.00211864406779661
better,0.00211864406779661
integr,0.00211864406779661
cogn,0.00211864406779661
behaviour,0.01694915254237288
present,0.00423728813559322
therapi,0.00211864406779661
certain,0.00423728813559322
physiolog,0.01059322033898305
speciﬁc,0.00211864406779661
facilit,0.00423728813559322
seem,0.00847457627118644
motiv,0.00211864406779661
brain,0.00847457627118644
known,0.00211864406779661
distinct,0.00423728813559322
mechan,0.006355932203389831
term,0.00423728813559322
neurobiolog,0.00211864406779661
process,0.03389830508474576
select,0.00423728813559322
review,0.00211864406779661
inﬂuenc,0.00211864406779661
involv,0.00211864406779661
explain,0.00423728813559322
social,0.01059322033898305
suggest,0.01694915254237288
broadli,0.00211864406779661
speciﬁ,0.00211864406779661
prematur,0.00211864406779661
part,0.00211864406779661
ann,0.00211864406779661
rev,0.00211864406779661
measur,0.00423728813559322
fam,0.00423728813559322
affect,0.029661016949152543
becom,0.00423728813559322
optim,0.00423728813559322
surpris,0.00423728813559322
research,0.00423728813559322
although,0.00211864406779661
moreov,0.00423728813559322
digit,0.00211864406779661
marit,0.00423728813559322
disrupt,0.00211864406779661
health,0.00847457627118644
magnet,0.00211864406779661
ispropos,0.00211864406779661
outcom,0.00847457627118644
discuss,0.00211864406779661
mean,0.00211864406779661
attent,0.00211864406779661
may,0.0423728813559322
conceptu,0.00211864406779661
adher,0.00423728813559322
obvious,0.00211864406779661
enhanc,0.00423728813559322
least,0.00211864406779661
buffer,0.00211864406779661
differenti,0.00211864406779661
fact,0.00423728813559322
quit,0.00211864406779661
place,0.00211864406779661
cardiovascular,0.00211864406779661
lead,0.00211864406779661
phenomena,0.006355932203389831
lizat,0.00211864406779661
exposur,0.00211864406779661
activ,0.048728813559322036
ad,0.00211864406779661
train,0.00423728813559322
repres,0.00211864406779661
along,0.00211864406779661
mention,0.00211864406779661
text,0.00211864406779661
premotor,0.00211864406779661
interestingli,0.00211864406779661
motor,0.00211864406779661
caution,0.00211864406779661
intent,0.00211864406779661
medial,0.00211864406779661
sinc,0.00423728813559322
dorsal,0.00211864406779661
anterior,0.00423728813559322
individu,0.00211864406779661
reward,0.00211864406779661
commun,0.046610169491525424
element,0.00211864406779661
interchang,0.00211864406779661
ultim,0.00211864406779661
third,0.00211864406779661
teach,0.00423728813559322
efﬁcienc,0.00211864406779661
empir,0.00211864406779661
literatur,0.00423728813559322
ﬁeld,0.00211864406779661
profoundli,0.00211864406779661
like,0.00423728813559322
simpl,0.00211864406779661
emphas,0.00211864406779661
import,0.00423728813559322
interview,0.00423728813559322
alexithym,0.00211864406779661
style,0.00211864406779661
doctor,0.05296610169491525
curriculum,0.00211864406779661
perform,0.00211864406779661
manipul,0.00211864406779661
reason,0.00847457627118644
incred,0.00423728813559322
other,0.00211864406779661
strictli,0.00211864406779661
toolbox,0.00211864406779661
refus,0.00211864406779661
unnecessari,0.00211864406779661
establish,0.00423728813559322
investig,0.00211864406779661
favour,0.00423728813559322
intend,0.00423728813559322
paradigm,0.006355932203389831
formul,0.00211864406779661
feel,0.00423728813559322
intens,0.00211864406779661
desir,0.00211864406779661
agre,0.00211864406779661
address,0.00211864406779661
patient,0.13347457627118645
relationsgener,0.00211864406779661
practicevalu,0.00211864406779661
chainneurobiologyneuropsychologycommun,0.00211864406779661
trainingabstract,0.00211864406779661
journal,0.00211864406779661
homepag,0.00211864406779661
situat,0.00211864406779661
clinic,0.00423728813559322
324but,0.00211864406779661
criteria,0.00211864406779661
suchman,0.00423728813559322
code,0.00211864406779661
system,0.00211864406779661
325research,0.00211864406779661
similar,0.00211864406779661
aim,0.00423728813559322
relat,0.00211864406779661
oneach,0.00211864406779661
326rapport,0.00211864406779661
327both,0.00211864406779661
guid,0.00211864406779661
come,0.00211864406779661
acknowledg,0.00423728813559322
taken,0.00211864406779661
serious,0.00211864406779661
therebi,0.00211864406779661
balancebetween,0.00211864406779661
gain,0.00211864406779661
abil,0.00211864406779661
listen,0.00423728813559322
written,0.00211864406779661
examin,0.00211864406779661
want,0.00211864406779661
decreas,0.00211864406779661
328effect,0.00211864406779661
coronari,0.00211864406779661
appoint,0.00211864406779661
noncompli,0.00211864406779661
gen,0.00211864406779661
intern,0.00211864406779661
med,0.00211864406779661
pract,0.00211864406779661
couns2005,0.00211864406779661
graugaard,0.00211864406779661
pk,0.00211864406779661
holgersen,0.00211864406779661
vollm,0.00211864406779661
ba,0.00211864406779661
tayloran,0.00211864406779661
effect,0.03177966101694915
separ,0.00211864406779661
elabor,0.00211864406779661
thedisclosur,0.00211864406779661
work,0.00211864406779661
good,0.00211864406779661
end,0.00211864406779661
asfundament,0.00211864406779661
trait,0.00211864406779661
construct,0.00211864406779661
link,0.00211864406779661
inhibit,0.00211864406779661
traumat,0.00211864406779661
psycholog,0.00211864406779661
one,0.014830508474576272
hold,0.00211864406779661
omit,0.00211864406779661
nucleu,0.00211864406779661
tri,0.00211864406779661
thu,0.00423728813559322
disput,0.00211864406779661
characteris,0.00211864406779661
nuat,0.00211864406779661
appl,0.00211864406779661
function,0.00423728813559322
model,0.00847457627118644
resolv,0.00211864406779661
aliteratur,0.00211864406779661
empath,0.00211864406779661
rapport,0.02754237288135593
use,0.00211864406779661
observ,0.00423728813559322
basic,0.00211864406779661
iti,0.00211864406779661
quickli,0.00211864406779661
respond,0.00847457627118644
verbal,0.00211864406779661
coun,0.00211864406779661
cue,0.00847457627118644
underli,0.00423728813559322
concern,0.012711864406779662
mani,0.00211864406779661
explicit,0.00211864406779661
sens,0.00211864406779661
empathi,0.01694915254237288
recent,0.00211864406779661
parallel,0.00211864406779661
thea,0.00211864406779661
toward,0.00211864406779661
neuroreport,0.00211864406779661
posit,0.059322033898305086
formal,0.00211864406779661
instrument,0.00211864406779661
relationshipbetween,0.00211864406779661
convey,0.00211864406779661
accord,0.00211864406779661
psychotherapi,0.00211864406779661
per,0.00211864406779661
anoth,0.00211864406779661
valenc,0.00211864406779661
character,0.00423728813559322
speed,0.00211864406779661
recoveri,0.00211864406779661
introduct,0.00211864406779661
richman,0.00423728813559322
reapprais,0.012711864406779662
even,0.00211864406779661
also,0.014830508474576272
indic,0.014830508474576272
case,0.00211864406779661
high,0.00211864406779661
let,0.00211864406779661
role,0.00211864406779661
open,0.00211864406779661
three,0.00211864406779661
main,0.00211864406779661
shortcut,0.00211864406779661
associ,0.01059322033898305
bilater,0.00211864406779661
nicat,0.00423728813559322
strong,0.00211864406779661
porter,0.00211864406779661
express,0.00847457627118644
immedi,0.00211864406779661
automat,0.00211864406779661
neg,0.00211864406779661
pictur,0.00211864406779661
number,0.00847457627118644
diagnos,0.00211864406779661
differ,0.00211864406779661
respons,0.023305084745762712
tendenc,0.00211864406779661
video,0.00211864406779661
neurobehavior,0.00211864406779661
cognit,0.00211864406779661
back,0.00211864406779661
gestur,0.00211864406779661
therapist,0.00211864406779661
voluntari,0.00211864406779661
abl,0.00211864406779661
experiment,0.00211864406779661
outsid,0.00211864406779661
alter,0.00211864406779661
studi,0.029661016949152543
accept,0.00211864406779661
look,0.00211864406779661
explor,0.00211864406779661
common,0.00211864406779661
show,0.00211864406779661
task,0.00423728813559322
submittedfor,0.00211864406779661
public,0.00211864406779661
biol,0.00211864406779661
psychiatr,0.00211864406779661
nonverb,0.01059322033898305
imit,0.00211864406779661
signal,0.00211864406779661
mirror,0.00211864406779661
movement,0.00211864406779661
cortex,0.012711864406779662
acc,0.00211864406779661
vmpfc,0.00211864406779661
lpfc,0.00211864406779661
particular,0.00211864406779661
dacc,0.00211864406779661
prefront,0.00423728813559322
region,0.00211864406779661
fmri,0.00211864406779661
area,0.00847457627118644
macaqu,0.00211864406779661
amygdala,0.00211864406779661
impli,0.00211864406779661
consequ,0.00211864406779661
perceprt,0.00211864406779661
psychol,0.014830508474576272
dobson,0.00211864406779661
grifﬁth,0.00211864406779661
quarterly2001,0.00211864406779661
knudsen,0.00211864406779661
markowitsch,0.00211864406779661
j,0.01059322033898305
dresner,0.00211864406779661
cancer,0.00211864406779661
carlsson,0.00211864406779661
adv,0.00211864406779661
